8.548,128,16,93
16.598,100,26,107
24.62,87,36,113
32.688,53,42,131
40.739,29,33,153
48.905,24,35,149
56.956,15,37,149
65.023,8,41,162
73.04,6,36,161
81.074,5,36,164
89.225,6,31,163
97.266,2,20,164
105.3,2,19,164
113.4,2,17,166
121.518,3,14,164
129.553,3,12,165
137.636,5,6,166
145.653,6,5,164
153.721,5,3,165
161.772,6,5,164
169.888,8,5,161
177.955,10,3,162
186.056,12,3,161
194.106,12,4,159
202.256,14,4,157
210.291,15,4,158
218.458,18,3,153
226.492,19,3,155
234.559,23,2,155
242.609,24,2,153
8.446,135,5,122
16.479,147,3,105
24.53,160,4,100
32.597,171,4,95
40.631,191,6,100
48.664,213,4,84
56.748,226,5,78
64.799,234,8,89
72.866,249,8,76
80.933,261,8,71
89.067,263,8,67
97.117,278,9,73
105.201,280,7,78
113.219,278,10,79
121.318,257,14,74
129.436,242,16,91
137.503,215,12,89
145.52,197,12,91
153.587,201,8,99
161.638,199,6,86
169.655,203,8,95
177.705,221,13,103
185.723,249,7,84
193.756,277,4,81
201.908,315,2,73
209.908,359,1,60
217.958,419,2,53
226.042,470,2,50
234.059,527,2,31
242.093,599,3,30
8.458,134,5,106
16.476,127,8,93
24.494,126,6,96
32.528,134,9,90
40.544,127,8,94
48.628,127,5,102
56.678,144,3,107
64.73,154,3,105
72.764,178,2,84
80.83,210,4,79
88.965,231,3,69
96.982,255,6,76
105.016,272,6,63
113.083,291,6,49
121.117,301,8,66
129.119,317,13,55
137.193,290,16,62
145.259,281,15,77
153.327,277,14,72
161.344,244,16,76
169.472,221,18,84
177.616,197,22,96
185.67,163,32,106
193.672,144,28,117
201.773,127,27,116
209.805,112,24,111
217.861,93,20,126
226.008,83,21,135
234.034,80,14,131
242.138,87,9,128
