30.543,0.07,8.0,0.01,7.0,239,233,66,213,203
60.693,0.07,8.0,0.01,7.0,816,233,317,209,678
90.729,0.07,8.0,0.01,7.0,2157,233,1339,203,1466
120.883,0.07,8.0,0.01,7.0,4001,244,3196,205,2232
150.991,0.07,8.0,0.01,7.0,5203,240,4804,219,2610
181.138,0.07,8.0,0.01,7.0,5687,251,5634,205,2617
211.2,0.07,8.0,0.01,7.0,5495,237,5493,215,2597
241.214,0.07,8.0,0.01,7.0,5269,243,5211,222,2634
30.646,0.07,8.0,0.01,7.0,173,239,52,208,140
60.664,0.07,8.0,0.01,7.0,592,246,202,205,489
90.828,0.07,8.0,0.01,7.0,1735,237,975,210,1222
120.973,0.07,8.0,0.01,7.0,3374,238,2553,223,2028
151.059,0.07,8.0,0.01,7.0,4727,234,4326,210,2405
181.077,0.07,8.0,0.01,7.0,5288,233,5038,219,2641
211.153,0.07,8.0,0.01,7.0,5606,225,5597,213,2638
241.206,0.07,8.0,0.01,7.0,6016,231,5822,212,2813
30.571,0.07,8.0,0.021869468,7.0,188,241,48,216,165
60.586,0.07,8.0,0.032545812,7.0,708,231,270,207,579
90.657,0.07,8.0,0.046585478,7.0,2089,239,1209,216,1436
120.736,0.07,8.0,0.058562163,7.0,3862,229,3177,207,2099
150.862,0.07,8.0,0.063801765,7.0,4792,248,4442,211,2412
180.894,0.07,8.0,0.06952322,7.0,5446,236,5212,223,2633
210.95,0.07,8.0,0.06894127,7.0,5417,228,5420,214,2616
241.037,0.07,8.0,0.066427186,7.0,5369,242,5420,218,2541
